Body parts
der Knöchel, die Knöchel	ankle
das Aussehen	appearance (as in looks)
der Arm, die Arme	arm
die Achsel, die Achseln	armpit
die Glatze, die Glatzen	bald head
der Bart, die Bärte	beard
der Bauch, die Bäuche	belly
das Blut	blood
das Gesäß, die Gesäße	buttock
die Wade, die Waden	calf (part of leg)
das Kinn, die Kinne	chin
das Ohr, die Ohren	ear
der Ellbogen, die Ellbogen	elbow
das Auge, die Augen	eye
die Augenbraue, die Augenbrauen	eyebrow
das Augenlid, die Augenlider	eyelid
das Gesicht, die Gesichter	face
der Finger, die Finger	finger
der Fingernagel, die Fingernägel	fingernail
die Faust, die Fäuste	fist
der Fuß, die Füße	foot
das Haar, die Haare	hair
der Kopf, die Köpfe	head
das Becken, die Becken	hip bone
die Hüfte, die Hüften	hip
der Darm, die Därme	intestine
das Gelenk, die Gelenke	joint
das Bein, die Beine	leg
der Nabel, die Nabel	navel
der Hals, die Hälse	neck (throat)
der Nerv, die Nerven	nerve
der Pferdeschwanz, die Pferdeschwänze	ponytail
der Magen, die Mägen	stomach
der Fußnagel, die Fußnägel	toenail
die Runzel, die Runzeln	wrinkle
das Handgelenk, die Handgelenke	wrist
das Knie, die Knie	knee
die Träne, die Tränen	teardrop
das Herz, die Herzen	heart (shape or organ)
übergewichtig	overweight
kräftig	strong (firm, burly, robust)
schlank	slim (slender, lank)
hager	scraggy (gaunt, haggard)
vollschlank	plump
dürr	arid (scrawny, barren, meager, droughty)
dicklich	plump (pudgy)
füllig	plump (corpulent)
mager	lean (meager, poor, skinny, gaunt, rawboned)
mollig	plump (snug, chubby)
untergewichtig	underweight
ungepfregt	scruffy (unkempt, blowzy, bedraggled)
schmuddelig	skanky (dingy, grubby, tatty) (note—pej)
zerknittert	creased (crumpled, wrinkly, crinkly, creasy)
gammelig	scruffy
lockig	curly (ringletted, curly-headed)
rundlich	chubby (roundish, plump, rotund)
rosig	rosy (rosy-cheeked)
blass	pale (pasty, pallid)
bleich	pale (pasty, pallid, wan)
glatt	smooth (even, glossy)
faltig	wrinkled (puckered, wrinkly, crinkly)
runzelig	puckered (wizen)
der Zopf, die Zöpfe	pigtail (plait)
die Perücke, die Perücken	wig
die Brust, die Brüste	chest (breast, bosom)
der Rücken, die Rücken	back (spine)
Ich schürfe mir das Knie auf	I skin my knee
Ich habe mir das Knie aufgeschürft	I skinned my knee
Du hast dir die Lippen geschminkt	You put on lipstick (You made up your lips)
der Zeh, die Zehe	toe
die Stirn, die Stirnen	forehead (brow)
der Daumen, die Daumen	thumb (cog)
die Taille, die Taillen	waist (midrift)
die Ferse, die Fersen	heel (note—specifically anatomical)
die Kehle, die Kehlen	throat (gorge)
die Schläfe, die Schläfen	temple (note—specifically anatomical)
graue Schläfen haben	to be going gray at the temples
die Wange, die Wangen	cheek (jowl)
der Oberschenkel, die Oberschenkel	thigh
die Schulter, die Schultern	shoulder
die Backe, die Backen	cheek (note—more colloquial)
der Adamsapfel, die Adamsäpfel	Adam's apple
der Mahlzahn, die Mahlzähne	molar
der Eckzahn, die Eckzähne	canine teeth
das Nasenloch, die Nasenlöcher	nostril
der Schädel, die Schädel	skull
das Ohrläppchen, die Ohrläppchen	earlobe
der Gehörgang, die Gehörgänge	ear canal
der Wangenknochen, die Wangenknochen	cheekbone
der Brustkorb, die Brustkörbe	ribcage
die Rippe, die Rippen	rib
der Unterschenkel, die Unterschenkel	lower leg
der Körperteill, die Körperteile	body part
zwei linke Hände haben	to be clumsy with practical matters (to not be handy)
auf eigenen Füßen stehen	to stand on one's own two feet
die Beine under die Arme nehmen	to hurry (to leg it, to high-tail it)
jemanden um den Finger wickeln	to have someone wrapped around your little finger
Hals über Kopf	helter-skelter (on the spur of the moment, without much forethought or support)
auf die leichte Schulter nehmen	to take lightly (to underestimate the danger or importance of)
mit dem Rücken zur Wand stehen	to be with your back against the wall
den Kopf hängen lassen	to be sad and despondent
auf den Arm nehmen	to tease (to put someone on, to yank someone's leg)
das Gebiss, die Gebisse	set of teeth
künstliches Gebiss	dentures
ein Auge auf jemanden werfen	to keep an eye on someone (to have a particular interest on someone [or something])
ein Augen zudrücken	to turn a blind eye (note—takes bei+dat for "to someting")
mir ein Ohr leihen	to lend me an ear
jemanden übers Ohr hauen	to swindel someone (to scam someone, to take someone to the cleaners)
sich aufs Ohr hauen	to catch some Zs (to hit the hay)
die Nase voll haben	to be fed up
den Mund voll nehmen	to brag (to boast, to talk big)
nicht auf den Mund gefallen sein	to have the gift of the gab (to have something good to say in every situation)
dir auf den Zahn fühlen	to suss you out (to feel you out, to interrogate you until one figures you out)
sich die Zähne an jemandem ausbeißen	to find someone a tough nut to crack (to fail when trying to match up with someone) (note—takes a dative sich, and can be used "an etwas" as well)
die Lunge, die Lungen	lung
die Leber, die Lebern	liver
der Harn, die Harne	urine
die Niere, die Nieren	kidney
das Organ, die Organe	anatomical organ
die Blase, die Blasen	bladder
die Geschlechtsorgan, die Geschlechtsorgane	genital (sex organ)
die Scheide, die Scheiden	vagina
der Penis, die Penes	penis
das Skelett, die Skelette	skeleton
der Muskel, die Muskeln	muscle
die Sehne, die Sehnen	sinew (tendon)
die Zunge, due Zungen	tongue
der Nacken, die Nacken	neck (nape of neck)
das Mark	marrow
der Augenwinkel, die Augenwinkel	corner of the eye
der Mundwinkel, die Mundwinkel	corner of the mouth
der Mund, die Münder	mouth
das Kniegelenk, die Kniegelenke	knee joint
die Kniescheibe, die Kniescheibe	kneecap
die Haut, die Häute	skin
böses Blut	bad blood
die Seele, die Seelen	soul
auf Herz und Nieren prüfen	to put throug the paces (to test extensively)
ein Herz und eine Seele sein	to be bosom buddies
mir durch Mark und Bein gehen	to set my teeth on edge (to get on my nerves)
mit Haut und Haaren	completely (lock stock and barrel) (note—said of someone being in love or being manipulated etc)
Blut und Wasser schwitzen	to be in a cold sweat
Hand und Fuß haben	to make sense (to have legs)
Fleisch und Blut	flesh and blood
mit Leib und Seele	with heart and soul
