Love and Marriage
jemandem den Kopf verdrehen	to turn someone's head
seine Augen verdrehen	to roll one's eyes
die Tatsachen verdrehen	to pervert the facts
Feuer fangen	to catch fire (note—can also be said of someone who is falling instantly in love)
zu haben sein	to be up for grabs
für alles zu haben sein	to be up for anything
ihr schöne Augen machen	to make eyes at her
ihm schöne Augen machen	to make eyes at him
bewirken	to effectuate (to produce, to cause, to effect)
jemanden abblitzen lassen	to brush someone off (to rebuff someone)
jemanden zappeln lassen	to keep someone in suspense
Lassen wir das Thema	Let's drop the subject
jemanden sitzenlassen	to bail on someone (to walk out on someone)
der Ehering, die Ehe	wedding ring
der Lebensweg, die Lebenswege	path of life
die Hochzeit, die Hochzeiten	marriage (wedding, nuptual)
der Bräutigam, die Bräutigame	bridegroom (groom)
der Gatte, die Gatten	consort (husband, male spouse) (note—formal)
die Gattin, die Gattinnen	consort (wife, female spouse) (note—formal)
der Kuss, die Küsse	kiss
poltern	to bluster (to rumble)
der Lebensgefährte, die Lebensgefährten	life partner (significant other, lifetime companion) (note—can take -in suffix)
der Liebhaber, die Liebhaber	enthusiast (aficionado, fancier, beau) (note—can take -in suffix)
schmusen	to smooch (to cuddle, to canoodle)
das Verhältnis, die Verhältnisse	affair (proportion, relation, relationship, liaison, love affair)
verlobt	engaged to be married
der Verlobte, die Verlobte	fiancé (note—becomes fiancée with a "die" article)
vergänglich	ephemeral (fading, transient, perishable)
auffordern	to prompt (to invite, to summon)
kurzerhand	without further ado (quickly)
kurzweilig	amusing (diverting, entertaining)
der Zuflucht, die Zufluchten	refuge (resort, safe haven, asylum)
Zuflucht suchen	to take refuge (to shelter) (note—takes vor+dat) 
verführerisch	alluring (tempting, enticing, seductive, seductively)
verführen	to entrape (to ensnare, to seduce, to entice)
die Sehnsucht, die Sehnsüchte	desire (craving, longing, aspiration) (note—takes nach+dative)
sich danach sehnen	to crave it (to yearn for it, to ache for it)
sich nach ihm sehnen	to crave him (to yearn for him, to ache for him)
sich in ihn verknallen	to become infatuated with him (to fall for him)
sich in sie verknallen	to become infatuated with her (to fall for her)
der Polterabend, die Polterabende	wedding eve party
der Junggeselle, die Junggesellen	bachelor (celibate male)
eingefleischter Junggeselle	confirmed bachelor
gescheitert	failed (abortive, washed up)
die Geliebte, die Geliebten	mistress (lover)
das Sorgerecht, die Sorgerechte	child custody
gemeinsames Sorgerecht	joint custody
alleines Sorgerecht	sole custody
für das Kind das Sorgerecht übernehmen	to take custody of the child
der Scheidungsanwalt, die Scheidungsanwälte	divorce lawyer (note—takes an -in suffix)
geschieden	divorced
spendieren	to spring for (to comp)
eine Runde spendieren	to pay for a round
der Unterhalt	living (livelihood, subsistence)
der Frauenheld, die Frauenhelden	womanizer (ladies' man)
der Empfang, die Empfänge	reception (welcome, arrival, greeting)
der Trauzeuge, die Trauzeugen	witness to a marriage (groomsman)
seine zukünftige Braut	his bride to be
die Flitterwochen	honeymoon
der Heiratsantrag, die Heiratsanträge	marriage proposal
